Title,Grant Amount,Grant Term Start,Grant Term End,Description,Initiative,Grant Status,Grantee Address
PATH 2024,449999.0,2024-09-01,2025-12-31,"in support of identifying and sharing maximally effective digital tools and capacity building to assist governments, implementing partners, and donors to expand climate-resilient health systems globally",Health Initiative,Unknown,"2201 Westlake Ave, Suite 200, Seattle, WA 98121, United States of America"
ClimateWorks Foundation 2024,250000.0,2024-09-01,2025-08-31,in general support of its mission to equip philanthropies with resources to address the worst impacts of climate change and build a resilient and vibrant future for people and the planet,Climate Exploration Fund,Unknown,"235 Montgomery Street, 13th Floor, San Francisco, CA 94104, United States of America"
Seed Global Health 2024,350000.0,2024-09-01,2026-02-28,in support of developing and institutionalizing effective tools for the health sectors in Malawi and other sub-Saharan nations to accurately assess climate vulnerabilities and efficiently mobilize response efforts for their most vulnerable populations,Climate Exploration Fund,Unknown,"50 Milk St, Boston, MA 02109, United States of America"
Columbia University 2024,75000.0,2024-09-01,2025-06-30,in support of research and convenings to investigate the financial mechanisms needed for promoting socially and environmentally responsible mineral extraction in an effort to ensure that economic benefits are shared with local and indigenous communities ,Convenings & Networks,Unknown,"615 West 131st Street, 6th Floor, Mail Code 8725, New York, NY 10027, United States of America"
Natural Resource Governance Institute 2024,75000.0,2024-09-01,2025-03-31,in support of a convening to develop strategies and mechanisms for lower-and middle-income countries to aid their transition from mining and advance sustainable development goals,Convenings & Networks,Unknown,"88 Pine Street, Suite 540, New York, New York 10005, United States of America"
Asia Society 2024,200000.0,2024-09-01,2025-08-31,"in support of research, education and engagement on China’s climate goals and implementation ",Asia Regional Office,Unknown,"725 Park Avenue, New York, NY 10021-5088, United States of America"
The Windward Fund 2024,200000.0,2024-08-01,2026-07-31,"in support of the Farm to Fork initiative, an effort to coordinate a diverse and equitable coalition of good food policy advocates in the U.S",Food Initiative,Unknown,"1828 L Street NW, Suite 300-C, Washington, DC 20036, United States of America"
The African Capacity Building Foundation 2024,3000000.0,2024-08-01,2026-06-30,in support of establishing the African School of Regulation to help build a sustainable energy model in Africa,Power and Climate,Unknown,"2 Fairbairn Drive, Mt. Pleasant, Harare,, Zimbabwe"
C40 Cities Climate Leadership Group Inc. 2024,999220.0,2024-08-01,2026-08-31,in support of developing heat-health pilot initiatives in up to six cities worldwide to assist local officials and other stakeholders to better respond to health impacts on vulnerable communities during extreme heat events,Health Initiative,Unknown,"120 Park Avenue, Floor 23, New York, NY 10017, United States of America"
Brown University 2024,250000.0,2024-08-01,2025-07-31,"in support of a developing a peer network for state and city health officials, a nonpartisan roadmap to identify health policy gaps, and tools to prioritize the health impacts of climate change on poor and at risk populations nationally",Health Initiative,Unknown,"Box 1929, Providence, RI 02912-9002, United States of America"
"Amref Health Africa, Inc. 2024",349339.0,2024-08-01,2026-01-31,in support of knowledge sharing and data presentations at convenings of global leaders to shape evidence-based climate-health policies that benefit vulnerable African populations,Health Initiative,Unknown,"75 Broad Street, Ste 703, New York, NY 10004, United States of America"
Research and Information System for Developing Countries 2024,300000.0,2024-08-01,2026-07-31,"in support of a fellowship program for scholars and practitioners from the Global South engaged in governance, public policy, and implementation of climate solutions across various sectors",Asia Regional Office,Unknown,"Core 4B 4th Floor India Habitat Centre, Lodhi Road, New Delhi,  110003, India"
United Nations 2024,100000.0,2024-08-01,2025-07-31,For use by its Resident Coordinator’s Office in China in support of a series of policy dialogues to share best practices and opportunities for climate capacity building for developing countries in the Global South,Asia Regional Office,Unknown,"One United Nations Plaza, New York, NY 10017, United States of America"
Regulatory Assistance Project 2024,350000.0,2024-08-01,2025-12-31,"in support of helping the government of Barbados to achieve a carbon-neutral, renewable energy sector. ",Power and Climate,Unknown,"50 State St. Ste. 3, Montpelier, VT 05602, United States of America"
Meridian Institute 2024,700000.0,2024-08-01,2025-05-31,"for use by it's project, towards the costs of research, goal setting, and funder alignment to enable philanthropic coordination for scaling regenerative agriculture in East Africa, India, Brazil, and Midwest USA.",Food Initiative,Unknown,"PO Box 1829, 105 Village Place, Dillon, CO 80435, United States of America"
Connected Women Leaders 2024,200000.0,2024-08-01,2025-05-31,"in support of convening a network of women leaders to address global challenges such as climate justice, economic empowerment, and food security.",Convenings & Networks,Unknown,"905 Jernigan St, Perry, GA 31069, United States of America"
United Nations Foundation 2024,218500.0,2024-08-01,2026-01-31,"in support of Data2X, an initiative to advance gender equity in climate resilience in Asia, by promoting bottom-up, gender-transformative data practices as a key pathway to achieve climate justice and gender equality",Asia Regional Office,Unknown,"1750 Pennsylvania Avenue, NW, Suite 300, Washington, DC 20006, United States of America"
"RF Catalytic Capital, Inc. 2024",200000.0,2024-08-01,2025-07-31,in support of mapping and modelling available funding sources for climate change and health initiatives to help countries protect their populations from the dangers of climate change on human health ,Health Initiative,Unknown,"420 Fifth Ave, 22nd Floor, New York, NY 10018, United States of America"
Gilder Lehrman Institute of American History 2024,500000.0,2024-07-01,2026-06-30,in support of expanding its Hamilton Education Program with new programming designed to deepen students’ knowledge of American history and increase the civic engagement of young people across the U.S,Strategic Opportunities Fund,Unknown,"49 West 45th Street, 6th floor, New York, NY 10036, United States of America"
Universidad de San Andres 2024,150000.0,2024-07-01,2026-06-30,for use by its  Centro de Estudios en Technologia y Sociedad in support of developing guidelines to ensure the responsible use of AI and generative AI systems by judiciaries  in Latin America.,Innovation,Unknown,"Vito Dumas 284, Victoria, Provincia de Buenos Aires, Argentina"
Khan Academy 2024,499000.0,2024-07-01,2026-06-30,"in support of advancing AI-powered learning and educational attainment in the Maryland Public Schools, with an emphasis on districts educating a large number of students who are impacted by poverty",Innovation,Unknown,"PO Box 1630, Mountain View, California 94042-1630, United States of America"
World Economic Forum 2024,500000.0,2024-07-01,2027-02-28,in support of a landscaping analysis of the private sector to assess the health impacts of climate change on vulnerable populations.,Health Initiative,Unknown,"91-93 Route de la Capite, Cologny, Geneva,  CH-1223, Switzerland"
Purpose Campaigns LLC 2024,300000.0,2024-07-01,2025-06-30,in support of a communications program in Indonesia to raise awareness about climate change and ensure a just energy transition for climate-vulnerable communities.,Policy,Unknown,"244 Fifth Avenue, Suite P203, New York, NY 10001, United States of America"
Yale University 2024,225000.0,2024-07-01,2025-06-30,For use by its Yale School of the Environment’s Program on Climate Change Communication in support of developing and analyzing an anonymized national survey of the Indonesian public about their knowledge and perceptions of climate change,Policy,Unknown,"Office of Sponsored Projects, 25 Science Park, 150 Munson Street, New Haven, CT 06520, United States of America"
Fund for Constitutional Government 2024,200000.0,2024-07-01,2025-06-30,In support of expanding accurate media coverage of climate change and conducting trainings for journalists in the Global South,CPA Central Office,Unknown,"1100 13th St NW, Washington, DC, Washington, DC 20005, United States of America"
Jobs to Move America 2024,250000.0,2024-07-01,2025-06-30,"in support of fostering successful employer-community partnerships in the clean-tech manufacturing sector that produce sustainable benefits for marginalized workers, vulnerable communities, and the climate",Innovation,Unknown,"525 S. Hewitt St., Los Angeles, CA 90013, United States of America"
Center for US Global Leadership 2024,900000.0,2024-06-01,2026-05-31,In support of its mission to promote democracy worldwide by educating policymakers about the value of global development and diplomacy,Policy,Unknown,"1120 19th Street NW, Suite 300, Washington, DC 20036, United States of America"
